Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
pelvis,-0.002847,-0.00037169,0.01809,0,0,0,11.637,0.047811,-1.1402E-05,0.0006116,0.031456,1.4971E-05,0.057429,0,0,0,0,0,0,package://titaV2/meshes/pelvis.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://titaV2/meshes/pelvis.STL,,外壳-1;机身中间部份-1;电池仓总装图V2-1,坐标系0,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
left_hip,-4.4311E-05,-0.014041,0.0027491,0,0,0,1.9732,0.002746,2.2481E-07,4.8998E-07,0.0040655,3.5899E-05,0.0021042,0,0,0,0,0,0,package://titaV2/meshes/left_hip.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://titaV2/meshes/left_hip.STL,,left leg 1-1,坐标系1,axis1,left_hip_abduction_joint,revolute,0,0.0895,0,0,1.5708,0,pelvis,0,0,1,0,0,-1.57,1.57,,,,,,,,
left_thigh,0.019003,0.00092368,-0.091109,0,0,0,2.365,0.0024777,-0.00013332,0.00010713,0.0052687,5.2693E-06,0.0067964,0,0,0,0,0,0,package://titaV2/meshes/left_thigh.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://titaV2/meshes/left_thigh.STL,,left leg 2-1,坐标系2,axis2,left_hip_flexion_joint,revolute,0,0.1826,0,-1.5708,0,0,left_hip,0,0,1,0,0,-1.57,1.57,,,,,,,,
left_calf,0.12103,0.0090757,-0.050402,0,0,0,0.6116,0.00026451,0.0001824,-2.3439E-05,0.0021601,-3.2211E-07,0.0023188,0,0,0,0,0,0,package://titaV2/meshes/left_calf.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://titaV2/meshes/left_calf.STL,,left leg 3-1,坐标系3,axis3,left_knee_joint,revolute,0.2,0,0,0,0,-1.5708,left_thigh,0,0,1,0,0,-3,-0.5,,,,,,,,
left_wheel,-1.5738E-05,0.00020568,-0.0017928,0,0,0,1.5376,0.0031616,1.6324E-07,-4.4034E-08,0.0031569,-2.2207E-06,0.0061689,0,0,0,0,0,0,package://titaV2/meshes/left_wheel.STL,0.69804,0.69804,0.69804,1,0,0,0,0,0,0,package://titaV2/meshes/left_wheel.STL,,left wheel-1,坐标系4,axis4,left_ankle_joint,continuous,0.2,0,0,0,0,0,left_calf,0,0,1,,,,,,,,,,,,
left_bar,0.10272,6.9389E-18,-0.056316,0,0,0,0.14512,3.2579E-06,2.5224E-20,-2.3855E-07,0.0006146,6.3552E-22,0.00061631,0,0,0,0,0,0,package://titaV2/meshes/left_bar.STL,0.64706,0.61961,0.58824,1,0,0,0,0,0,0,package://titaV2/meshes/left_bar.STL,,left LandQ-1/left laganer-1,坐标系5,axis5,left_calf_bar_joint,revolute,-0.023182,-0.0062117,0,0,0,-1.5708,left_calf,0,0,1,0,0,0,0,,,,,,,,
left_crank,0.017241,0.0015219,-0.060973,0,0,0,0.20695,3.8345E-05,4.9899E-07,5.0169E-06,5.8112E-05,-2.8373E-06,7.0093E-05,0,0,0,0,0,0,package://titaV2/meshes/left_crank.STL,0.64706,0.61961,0.58824,1,0,0,0,0,0,0,package://titaV2/meshes/left_crank.STL,,left LandQ-1/left qubinger-1,坐标系6,axis6,left_bar_crank_joint,revolute,0.2,0,0,0,0,1.8326,left_bar,0,0,1,0,0,0,0,,,,,,,,
right_hip,4.4311E-05,0.014041,0.0027491,0,0,0,1.9732,0.002746,2.2481E-07,-4.8998E-07,0.0040655,-3.5899E-05,0.0021042,0,0,0,0,0,0,package://titaV2/meshes/right_hip.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://titaV2/meshes/right_hip.STL,,right leg 1 -1,坐标系11,axis11,right_hip_abduction_joint,revolute,0,-0.0895,0,0,1.5708,0,pelvis,0,0,1,0,0,-1.57,1.57,,,,,,,,
right_thigh,0.018988,0.00090795,0.091109,0,0,0,2.365,0.0024783,-0.00013332,-0.00010721,0.0052682,-5.356E-06,0.0067965,0,0,0,0,0,0,package://titaV2/meshes/right_thigh.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://titaV2/meshes/right_thigh.STL,,right leg 2-1,坐标系12,axis2,right_hip_flexion_joint,revolute,0,-0.1826,0,-1.5708,0,0,right_hip,0,0,1,0,0,0,0,,,,,,,,
right_calf,0.12103,0.0091003,0.05039,0,0,0,0.6116,0.00026444,0.00018202,2.3441E-05,0.0021602,3.2666E-07,0.0023188,0,0,0,0,0,0,package://titaV2/meshes/right_calf.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://titaV2/meshes/right_calf.STL,,right leg 3-1,坐标系13,axis3,right_knee_joint,revolute,0.2,0,0,0,0,-1.5708,right_thigh,0,0,1,0,0,-3,-0.5,,,,,,,,
right_wheel,-1.4534E-07,4.1544E-05,0.0018445,0,0,0,1.5377,0.003086,4.7536E-08,3.5434E-08,0.003086,-4.621E-08,0.0059413,0,0,0,0,0,0,package://titaV2/meshes/right_wheel.STL,0.69804,0.69804,0.69804,1,0,0,0,0,0,0,package://titaV2/meshes/right_wheel.STL,,right wheel-1,坐标系14,axis4,right_ankle_joint,continuous,0.2,0,0,0,0,0,right_calf,0,0,1,0,0,0,0,,,,,,,,
right_bar,0.10273,1.2647E-06,0.056284,0,0,0,0.14512,3.2579E-06,-1.802E-17,-2.3855E-07,0.0006146,-7.7477E-21,0.00061631,0,0,0,0,0,0,package://titaV2/meshes/right_bar.STL,0.64706,0.61961,0.58824,1,0,0,0,0,0,0,package://titaV2/meshes/right_bar.STL,,right LandQ-1/left laganer-1,坐标系15,axis5,right_calf_bar_joint,revolute,-0.023182,-0.0062117,0,0,0,-1.5708,right_calf,0,0,1,0,0,0,0,,,,,,,,
right_crank,0.017241,-0.0015233,0.060973,0,0,0,0.20695,3.8346E-05,-5.0302E-07,-5.0163E-06,5.8112E-05,-2.8383E-06,7.0093E-05,0,0,0,0,0,0,package://titaV2/meshes/right_crank.STL,0.64706,0.61961,0.58824,1,0,0,0,0,0,0,package://titaV2/meshes/right_crank.STL,,right LandQ-1/left qubinger-1,坐标系16,axis6,right_bar_crank_joint,revolute,0.2,0,0,0,0,1.8326,right_bar,0,0,1,0,0,0,0,,,,,,,,
